CustomerID,Recency,Frequency,Monetary,Churn_Status,R_Score,F_Score,M_Score,RFM_Score,Segment
12383,184,5,1850.56,Churned,2,3,3,8,"At Risk"
12384,28,2,585.27,Active,3,2,2,7,Others
12385,379,1,1938.40,Churned,2,1,3,6,Others
12386,337,2,660.80,Churned,2,2,2,6,Lost
12387,415,1,143.94,Churned,1,1,1,3,Lost
12388,15,8,3901.11,Active,4,4,4,12,Champions
12389,402,3,1433.33,Churned,1,2,3,6,Others
12390,79,1,549.84,Active,3,1,2,6,Others
12391,21,6,2773.42,Active,4,3,4,11,"Loyal Customers"
12392,591,1,234.75,Churned,1,1,1,3,Lost
12393,72,6,2399.45,Active,3,3,4,10,"Loyal Customers"
12394,63,2,1272.48,Active,3,2,3,8,Others
12395,19,15,5067.27,Active,4,4,4,12,Champions
12396,674,1,931.43,Churned,1,1,3,5,Others
12397,35,2,2409.90,Active,3,2,4,9,Others
12398,45,1,1635.66,Active,3,1,3,7,Others
12399,119,7,1962.30,Churned,2,3,3,8,"At Risk"
12400,414,1,205.25,Churned,1,1,1,3,Lost
12401,303,1,84.30,Churned,2,1,1,4,Lost
12402,323,6,1256.90,Churned,2,3,3,8,"At Risk"
12403,49,2,1019.36,Active,3,2,3,8,Others
12404,682,1,63.24,Churned,1,1,1,3,Lost
12405,148,1,1710.39,Churned,2,1,3,6,Others
12406,22,5,6390.36,Active,4,3,4,11,"Loyal Customers"
12407,49,5,1708.12,Active,3,3,3,9,"Loyal Customers"
12408,32,8,4340.77,Active,3,4,4,11,"Loyal Customers"
12409,78,7,23419.29,Active,3,3,4,10,"Loyal Customers"
12410,308,3,1013.71,Churned,2,2,3,7,Others
12411,409,1,346.90,Churned,1,1,1,3,Lost
12412,74,6,2596.93,Active,3,3,4,10,"Loyal Customers"
12413,66,4,999.45,Active,3,3,3,9,"Loyal Customers"
12414,217,6,952.41,Churned,2,3,3,8,"At Risk"
12415,24,28,144458.37,Active,4,4,4,12,Champions
12416,656,1,202.56,Churned,1,1,1,3,Lost
12417,3,20,6816.91,Active,4,4,4,12,Champions
12418,112,4,2021.20,Churned,2,3,3,8,"At Risk"
12419,385,2,503.01,Churned,1,2,2,5,Lost
12420,63,1,600.39,Active,3,1,2,6,Others
12421,15,6,1098.60,Active,4,3,3,10,"Loyal Customers"
12422,95,17,5231.80,Churned,3,4,4,11,"Loyal Customers"
12423,0,10,2622.39,Active,4,4,4,12,Champions
12424,162,4,3340.03,Churned,2,3,4,9,"At Risk"
12425,78,2,1741.41,Active,3,2,3,8,Others
12426,194,2,1345.21,Churned,2,2,3,7,Others
12427,21,3,1129.30,Active,4,2,3,9,"New Customers"
12428,25,9,7956.46,Active,4,4,4,12,Champions
12429,9,8,7485.91,Active,4,4,4,12,Champions
12430,43,1,256.40,Active,3,1,1,5,Others
12431,35,27,10857.97,Active,3,4,4,11,"Loyal Customers"
12432,42,5,5059.32,Active,3,3,4,10,"Loyal Customers"
12433,0,10,20581.26,Active,4,4,4,12,Champions
12434,84,3,1103.43,Active,3,2,3,8,Others
12435,79,6,13925.93,Active,3,3,4,10,"Loyal Customers"
12436,99,1,509.01,Churned,2,1,2,5,Lost
12437,1,39,12683.40,Active,4,4,4,12,Champions
12438,14,2,2906.85,Active,4,2,4,10,"New Customers"
12439,682,2,1158.18,Churned,1,2,3,6,Others
12440,462,2,859.20,Churned,1,2,2,5,Lost
12441,366,1,347.10,Churned,2,1,1,4,Lost
12442,3,1,172.06,Active,4,1,1,6,"New Customers"
12443,732,1,485.31,Churned,1,1,2,4,Lost
12444,21,5,5005.46,Active,4,3,4,11,"Loyal Customers"
12445,22,2,434.98,Active,4,2,2,8,"New Customers"
12446,57,1,1002.31,Active,3,1,3,7,Others
12447,243,1,476.49,Churned,2,1,2,5,Lost
12448,44,1,449.45,Active,3,1,2,6,Others
12449,22,6,4835.89,Active,4,3,4,11,"Loyal Customers"
12450,156,5,688.20,Churned,2,3,2,7,"At Risk"
12451,10,8,12669.88,Active,4,4,4,12,Champions
12452,16,2,430.57,Active,4,2,2,8,"New Customers"
12453,134,1,707.09,Churned,2,1,2,5,Lost
12454,56,5,16679.78,Active,3,3,4,10,"Loyal Customers"
12455,73,10,5879.95,Active,3,4,4,11,"Loyal Customers"
12456,44,3,3181.04,Active,3,2,4,9,Others
12457,66,8,2995.91,Active,3,4,4,11,"Loyal Customers"
12458,71,4,1777.49,Active,3,3,3,9,"Loyal Customers"
12459,605,1,454.36,Churned,1,1,2,4,Lost
12460,456,1,326.65,Churned,1,1,1,3,Lost
12461,94,2,826.88,Churned,3,2,2,7,Others
12462,18,2,1189.59,Active,4,2,3,9,"New Customers"
12463,53,4,1344.78,Active,3,3,3,9,"Loyal Customers"
12464,10,8,1212.05,Active,4,4,3,11,"Loyal Customers"
12465,17,2,742.19,Active,4,2,2,8,"New Customers"
12466,682,1,56.73,Churned,1,1,1,3,Lost
12467,423,1,132.80,Churned,1,1,1,3,Lost
12468,187,5,3670.74,Churned,2,3,4,9,"At Risk"
12469,522,2,3070.54,Churned,1,2,4,7,Others
12470,689,1,211.95,Churned,1,1,1,3,Lost
12471,2,79,39963.79,Active,4,4,4,12,Champions
12472,32,19,17880.59,Active,3,4,4,11,"Loyal Customers"
12473,29,5,3938.55,Active,3,3,4,10,"Loyal Customers"
12474,17,31,12424.45,Active,4,4,4,12,Champions
12475,53,2,1149.64,Active,3,2,3,8,Others
12476,15,23,14115.41,Active,4,4,4,12,Champions
12477,22,9,20276.37,Active,4,4,4,12,Champions
12478,3,1,680.99,Active,4,1,2,7,"New Customers"
12479,11,1,527.20,Active,4,1,2,7,"New Customers"
12480,28,7,5464.85,Active,3,3,4,10,"Loyal Customers"
12481,22,15,12361.39,Active,4,4,4,12,Champions
12482,576,29,23691.40,Churned,1,4,4,9,"At Risk"
12483,17,19,5120.58,Active,4,4,4,12,Champions
12484,32,12,6370.15,Active,3,4,4,11,"Loyal Customers"
12485,529,1,708.10,Churned,1,1,2,4,Lost
12486,431,1,1037.28,Churned,1,1,3,5,Others
12487,730,1,285.30,Churned,1,1,1,3,Lost
12488,9,3,1298.66,Active,4,2,3,9,"New Customers"
12489,336,1,334.93,Churned,2,1,1,4,Lost
12490,5,21,9823.64,Active,4,4,4,12,Champions
12491,38,1,460.40,Active,3,1,2,6,Others
12492,63,3,715.21,Active,3,2,2,7,Others
12493,165,2,433.74,Churned,2,2,2,6,Lost
12494,15,9,1872.87,Active,4,4,3,11,"Loyal Customers"
12495,640,1,357.40,Churned,1,1,2,4,Lost
12496,620,2,54.09,Churned,1,2,1,4,Lost
12497,81,3,6248.50,Active,3,2,4,9,Others
12498,21,3,403.70,Active,4,2,2,8,"New Customers"
12499,560,1,393.72,Churned,1,1,2,4,Lost
12500,23,19,5955.21,Active,4,4,4,12,Champions
12501,336,1,2169.39,Churned,2,1,3,6,Others
12502,95,5,3723.87,Churned,3,3,4,10,"Loyal Customers"
12503,584,1,1126.00,Churned,1,1,3,5,Others
12504,18,4,779.05,Active,4,3,2,9,"Loyal Customers"
12505,408,1,955.20,Churned,1,1,3,5,Others
12506,232,1,73.50,Churned,2,1,1,4,Lost
12507,134,4,1844.06,Churned,2,3,3,8,"At Risk"
12508,26,2,398.27,Active,3,2,2,7,Others
12509,284,1,176.50,Churned,2,1,1,4,Lost
12510,142,9,5178.02,Churned,2,4,4,10,"At Risk"
12511,428,1,3084.02,Churned,1,1,4,6,Others
12512,66,2,138.03,Active,3,2,1,6,Others
12513,112,1,612.29,Churned,2,1,2,5,Lost
12514,267,2,1597.76,Churned,2,2,3,7,Others
12515,353,1,383.70,Churned,2,1,2,5,Lost
12516,77,4,2648.62,Active,3,3,4,10,"Loyal Customers"
12517,28,5,2502.84,Active,3,3,4,10,"Loyal Customers"
12518,0,5,2056.89,Active,4,3,3,10,"Loyal Customers"
12519,63,2,726.54,Active,3,2,2,7,Others
12520,79,5,2634.26,Active,3,3,4,10,"Loyal Customers"
12521,142,1,599.68,Churned,2,1,2,5,Lost
12522,39,2,192.72,Active,3,2,1,6,Others
12523,19,23,4372.15,Active,4,4,4,12,Champions
12524,9,17,11126.11,Active,4,4,4,12,Champions
12525,498,3,973.73,Churned,1,2,3,6,Others
12526,0,3,1316.66,Active,4,2,3,9,"New Customers"
12527,81,5,735.51,Active,3,3,2,8,"Loyal Customers"
12528,9,6,1933.48,Active,4,3,3,10,"Loyal Customers"
12529,528,1,316.48,Churned,1,1,1,3,Lost
12530,59,9,3759.26,Active,3,4,4,11,"Loyal Customers"
12531,14,2,1933.20,Active,4,2,3,9,"New Customers"
12532,30,1,349.83,Active,3,1,2,6,Others
12533,627,2,1367.89,Churned,1,2,3,6,Others
12534,130,1,1089.18,Churned,2,1,3,6,Others
12535,91,2,716.35,Churned,3,2,2,7,Others
12536,43,3,12601.83,Active,3,2,4,9,Others
12537,408,1,732.94,Churned,1,1,2,4,Lost
12538,29,2,640.45,Active,3,2,2,7,Others
12539,22,7,11214.75,Active,4,3,4,11,"Loyal Customers"
12540,19,33,22254.49,Active,4,4,4,12,Champions
12541,29,3,981.18,Active,3,2,3,8,Others
12542,484,2,481.88,Churned,1,2,2,5,Lost
12543,448,1,980.25,Churned,1,1,3,5,Others
12544,36,1,372.70,Active,3,1,2,6,Others
12545,75,2,1000.39,Active,3,2,3,8,Others
12546,46,2,1161.50,Active,3,2,3,8,Others
12547,197,3,383.58,Churned,2,2,2,6,Lost
12548,166,1,95.20,Churned,2,1,1,4,Lost
12549,575,6,1575.68,Churned,1,3,3,7,"At Risk"
12550,79,1,964.83,Active,3,1,3,7,Others
12551,357,1,168.00,Churned,2,1,1,4,Lost
12552,38,2,437.82,Active,3,2,2,7,Others
12553,8,12,4608.75,Active,4,4,4,12,Champions
12554,448,1,468.50,Churned,1,1,2,4,Lost
12555,682,1,129.23,Churned,1,1,1,3,Lost
12556,50,2,603.71,Active,3,2,2,7,Others
12557,16,8,18716.14,Active,4,4,4,12,Champions
12558,7,1,269.96,Active,4,1,1,6,"New Customers"
12559,310,2,561.71,Churned,2,2,2,6,Lost
12560,5,3,2134.01,Active,4,2,3,9,"New Customers"
12561,302,1,238.85,Churned,2,1,1,4,Lost
12562,8,9,4966.92,Active,4,4,4,12,Champions
12563,408,1,249.24,Churned,1,1,1,3,Lost
12564,261,1,456.90,Churned,2,1,2,5,Lost
12565,288,1,145.92,Churned,2,1,1,4,Lost
12566,86,1,351.65,Active,3,1,2,6,Others
12567,22,15,13709.86,Active,4,4,4,12,Champions
12568,644,1,70.00,Churned,1,1,1,3,Lost
12569,2,32,4124.69,Active,4,4,4,12,Champions
12570,682,1,77.52,Churned,1,1,1,3,Lost
12571,39,2,519.61,Active,3,2,2,7,Others
12572,8,2,1020.42,Active,4,2,3,9,"New Customers"
12573,227,5,717.41,Churned,2,3,2,7,"At Risk"
12574,315,1,218.45,Churned,2,1,1,4,Lost
12575,457,2,622.82,Churned,1,2,2,5,Lost
12576,35,8,2142.72,Active,3,4,3,10,"Loyal Customers"
12577,35,8,1653.75,Active,3,4,3,10,"Loyal Customers"
12578,21,4,4642.45,Active,4,3,4,11,"Loyal Customers"
12579,78,1,440.42,Active,3,1,2,6,Others
12580,246,2,1052.90,Churned,2,2,3,7,Others
12581,39,1,197.71,Active,3,1,1,5,Others
12582,238,4,1980.40,Churned,2,3,3,8,"At Risk"
12583,2,27,14447.44,Active,4,4,4,12,Champions
12584,3,9,2338.15,Active,4,4,4,12,Champions
12585,234,2,2040.10,Churned,2,2,3,7,Others
12586,17,4,2062.67,Active,4,3,3,10,"Loyal Customers"
12587,7,1,144.00,Active,4,1,1,6,"New Customers"
12588,39,4,958.78,Active,3,3,3,9,"Loyal Customers"
12589,28,8,4695.66,Active,3,4,4,11,"Loyal Customers"
12590,211,2,9864.26,Churned,2,2,4,8,Others
12591,317,3,1352.15,Churned,2,2,3,7,Others
12592,92,5,2582.66,Churned,3,3,4,10,"Loyal Customers"
12593,108,3,418.10,Churned,2,2,2,6,Lost
12594,37,15,5090.11,Active,3,4,4,11,"Loyal Customers"
12595,504,1,299.02,Churned,1,1,1,3,Lost
12596,51,2,618.27,Active,3,2,2,7,Others
12597,19,4,3811.22,Active,4,3,4,11,"Loyal Customers"
12598,9,11,4534.09,Active,4,4,4,12,Champions
12599,29,13,2296.72,Active,3,4,3,10,"Loyal Customers"
12600,28,21,5043.92,Active,3,4,4,11,"Loyal Customers"
12601,189,6,681.26,Churned,2,3,2,7,"At Risk"
12602,58,1,153.12,Active,3,1,1,5,Others
12603,21,1,739.20,Active,4,1,2,7,"New Customers"
12604,79,2,254.18,Active,3,2,1,6,Others
12605,376,4,1232.95,Churned,2,3,3,8,"At Risk"
12606,682,1,21.00,Churned,1,1,1,3,Lost
12607,60,1,1579.51,Active,3,1,3,7,Others
12608,404,1,415.79,Churned,1,1,2,4,Lost
12609,78,9,3435.86,Active,3,4,4,11,"Loyal Customers"
12610,22,5,2099.54,Active,4,3,3,10,"Loyal Customers"
12611,52,1,1193.32,Active,3,1,3,7,Others
12612,74,1,704.04,Active,3,1,2,6,Others
12613,57,10,6835.07,Active,3,4,4,11,"Loyal Customers"
12614,277,1,315.60,Churned,2,1,1,4,Lost
12615,2,8,5740.98,Active,4,4,4,12,Champions
12616,95,3,1131.10,Churned,3,2,3,8,Others
12617,29,1,355.53,Active,3,1,2,6,Others
12618,21,1,177.31,Active,4,1,1,6,"New Customers"
12619,16,10,3781.38,Active,4,4,4,12,Champions
12620,14,3,1339.41,Active,4,2,3,9,"New Customers"
12621,1,35,24775.81,Active,4,4,4,12,Champions
12622,232,1,180.10,Churned,2,1,1,4,Lost
12623,276,7,3747.84,Churned,2,3,4,9,"At Risk"
12624,106,2,641.13,Churned,2,2,2,6,Lost
12625,211,4,5164.88,Churned,2,3,4,9,"At Risk"
12626,23,9,6620.48,Active,4,4,4,12,Champions
12627,10,7,4478.53,Active,4,3,4,11,"Loyal Customers"
12628,4,3,786.46,Active,4,2,2,8,"New Customers"
12629,385,2,1558.22,Churned,1,2,3,6,Others
12630,9,2,1270.88,Active,4,2,3,9,"New Customers"
12631,57,6,3481.57,Active,3,3,4,10,"Loyal Customers"
12632,520,2,804.88,Churned,1,2,2,5,Lost
12633,58,7,5678.16,Active,3,3,4,10,"Loyal Customers"
12634,535,2,490.00,Churned,1,2,2,5,Lost
12635,89,4,2930.41,Active,3,3,4,10,"Loyal Customers"
12636,738,1,141.00,Churned,1,1,1,3,Lost
12637,67,12,8340.31,Active,3,4,4,11,"Loyal Customers"
12638,33,2,921.49,Active,3,2,3,8,Others
12639,238,3,1312.37,Churned,2,2,3,7,Others
12640,23,3,1174.58,Active,4,2,3,9,"New Customers"
12641,115,1,185.90,Churned,2,1,1,4,Lost
12642,25,3,1013.26,Active,4,2,3,9,"New Customers"
12643,128,12,8350.42,Churned,2,4,4,10,"At Risk"
12644,129,4,1918.49,Churned,2,3,3,8,"At Risk"
12645,33,8,3539.30,Active,3,4,4,11,"Loyal Customers"
12646,4,2,1346.97,Active,4,2,3,9,"New Customers"
12647,22,36,17924.35,Active,4,4,4,12,Champions
12648,154,4,1112.00,Churned,2,3,3,8,"At Risk"
12649,107,8,2294.65,Churned,2,4,3,9,"At Risk"
12650,3,1,314.44,Active,4,1,1,6,"New Customers"
12651,334,4,377.75,Churned,2,3,2,7,"At Risk"
12652,331,2,1017.03,Churned,2,2,3,7,Others
12653,148,3,4160.83,Churned,2,2,4,8,Others
12654,10,5,601.98,Active,4,3,2,9,"Loyal Customers"
12655,423,1,261.35,Churned,1,1,1,3,Lost
12656,17,8,6407.83,Active,4,4,4,12,Champions
12657,11,4,1643.18,Active,4,3,3,10,"Loyal Customers"
12658,18,1,686.05,Active,4,1,2,7,"New Customers"
12659,29,1,91.68,Active,3,1,1,5,Others
12660,11,1,245.10,Active,4,1,1,6,"New Customers"
12661,436,1,162.00,Churned,1,1,1,3,Lost
12662,0,20,6988.02,Active,4,4,4,12,Champions
12663,624,2,239.40,Churned,1,2,1,4,Lost
12664,8,11,6070.04,Active,4,4,4,12,Champions
12665,324,3,313.60,Churned,2,2,1,5,Lost
12666,394,1,1248.42,Churned,1,1,3,5,Others
12667,58,1,620.13,Active,3,1,2,6,Others
12668,11,10,11444.68,Active,4,4,4,12,Champions
12669,150,3,2744.03,Churned,2,2,4,8,Others
12670,10,7,3760.29,Active,4,3,4,11,"Loyal Customers"
12671,606,1,2622.48,Churned,1,1,4,6,Others
12672,329,2,437.05,Churned,2,2,2,6,Lost
12673,5,3,1230.02,Active,4,2,3,9,"New Customers"
12674,38,4,1970.60,Active,3,3,3,9,"Loyal Customers"
12675,553,2,958.50,Churned,1,2,3,6,Others
12676,24,11,2843.09,Active,4,4,4,12,Champions
12677,555,2,395.10,Churned,1,2,2,5,Lost
12678,42,21,34281.18,Active,3,4,4,11,"Loyal Customers"
12679,58,4,1113.02,Active,3,3,3,9,"Loyal Customers"
12680,0,4,880.81,Active,4,3,2,9,"Loyal Customers"
12681,14,45,30868.28,Active,4,4,4,12,Champions
12682,3,52,24033.91,Active,4,4,4,12,Champions
12683,4,21,12696.78,Active,4,4,4,12,Champions
12684,7,7,2283.63,Active,4,3,3,10,"Loyal Customers"
12685,28,6,2863.08,Active,3,3,4,10,"Loyal Customers"
12686,371,1,178.28,Churned,2,1,1,4,Lost
12687,480,2,2138.91,Churned,1,2,3,6,Others
12688,113,1,4873.81,Churned,2,1,4,7,Others
12689,25,2,1247.61,Active,4,2,3,9,"New Customers"
12690,205,1,389.01,Churned,2,1,2,5,Lost
12691,28,7,1170.40,Active,3,3,3,9,"Loyal Customers"
12692,637,1,110.95,Churned,1,1,1,3,Lost
12693,127,7,1703.02,Churned,2,3,3,8,"At Risk"
12694,70,3,1843.35,Active,3,2,3,8,Others
12695,7,7,1407.12,Active,4,3,3,10,"Loyal Customers"
12696,434,2,851.91,Churned,1,2,2,5,Lost
12697,28,3,957.59,Active,3,2,3,8,Others
12698,590,1,339.75,Churned,1,1,1,3,Lost
12699,417,1,638.11,Churned,1,1,2,4,Lost
12700,7,4,4939.99,Active,4,3,4,11,"Loyal Customers"
12701,79,6,2446.41,Active,3,3,4,10,"Loyal Customers"
12702,19,1,219.00,Active,4,1,1,6,"New Customers"
12703,71,4,1006.53,Active,3,3,3,9,"Loyal Customers"
12704,7,8,2340.84,Active,4,4,4,12,Champions
12705,15,14,11762.10,Active,4,4,4,12,Champions
12707,291,1,603.42,Churned,2,1,2,5,Lost
12708,29,18,5314.10,Active,3,4,4,11,"Loyal Customers"
12709,15,34,31093.34,Active,4,4,4,12,Champions
12710,96,3,1149.02,Churned,2,2,3,7,Others
12711,611,2,1339.05,Churned,1,2,3,6,Others
12712,28,21,7193.66,Active,3,4,4,11,"Loyal Customers"
12713,0,1,848.55,Active,4,1,2,7,"New Customers"
12714,9,12,14093.71,Active,4,4,4,12,Champions
12715,106,1,353.86,Churned,2,1,2,5,Lost
12716,3,2,1053.49,Active,4,2,3,9,"New Customers"
12717,151,3,1308.91,Churned,2,2,3,7,Others
12718,71,1,238.25,Active,3,1,1,5,Others
12719,5,2,644.95,Active,4,2,2,8,"New Customers"
12720,2,30,8260.67,Active,4,4,4,12,Champions
12721,31,8,4013.08,Active,3,4,4,11,"Loyal Customers"
12722,85,4,997.63,Active,3,3,3,9,"Loyal Customers"
12723,3,5,725.07,Active,4,3,2,9,"Loyal Customers"
12724,5,7,2317.52,Active,4,3,4,11,"Loyal Customers"
12725,371,4,2694.56,Churned,2,3,4,9,"At Risk"
12726,28,11,4014.60,Active,3,4,4,11,"Loyal Customers"
12727,10,10,5679.53,Active,4,4,4,12,Champions
12728,71,5,1070.17,Active,3,3,3,9,"Loyal Customers"
12729,113,1,453.01,Churned,2,1,2,5,Lost
12730,521,1,829.25,Churned,1,1,2,4,Lost
12731,23,17,25775.71,Active,4,4,4,12,Champions
12732,179,1,236.26,Churned,2,1,1,4,Lost
12733,234,4,2424.87,Churned,2,3,4,9,"At Risk"
12734,352,3,639.65,Churned,2,2,2,6,Lost
12735,315,2,779.57,Churned,2,2,2,6,Lost
12736,332,1,234.00,Churned,2,1,1,4,Lost
12737,498,2,3710.50,Churned,1,2,4,7,Others
12738,372,1,310.70,Churned,2,1,1,4,Lost
12739,78,4,2726.73,Active,3,3,4,10,"Loyal Customers"
12740,63,1,427.60,Active,3,1,2,6,Others
12741,529,2,406.07,Churned,1,2,2,5,Lost
12742,625,1,1201.52,Churned,1,1,3,5,Others
12743,134,2,546.43,Churned,2,2,2,6,Lost
12744,51,11,25317.06,Active,3,4,4,11,"Loyal Customers"
12745,486,3,925.41,Churned,1,2,3,6,Others
12746,540,1,254.55,Churned,1,1,1,3,Lost
12747,2,26,9276.54,Active,4,4,4,12,Champions
12748,0,336,56599.39,Active,4,4,4,12,Champions
12749,3,9,6897.36,Active,4,4,4,12,Champions
12750,128,1,275.88,Churned,2,1,1,4,Lost
12751,444,1,268.27,Churned,1,1,1,3,Lost
12752,81,1,4366.78,Active,3,1,4,8,Others
12753,22,6,21429.39,Active,4,3,4,11,"Loyal Customers"
12754,235,3,3010.74,Churned,2,2,4,8,Others
12755,280,11,9030.66,Churned,2,4,4,10,"At Risk"
12756,86,1,112.08,Active,3,1,1,5,Others
12757,15,13,7857.10,Active,4,4,4,12,Champions
12758,116,7,9903.24,Churned,2,3,4,9,"At Risk"
12759,52,8,5020.74,Active,3,4,4,11,"Loyal Customers"
12760,455,1,347.80,Churned,1,1,1,3,Lost
12761,457,2,782.95,Churned,1,2,2,5,Lost
12762,7,2,1898.52,Active,4,2,3,9,"New Customers"
12763,138,2,814.16,Churned,2,2,2,6,Lost
12764,316,1,1693.88,Churned,2,1,3,6,Others
12765,472,6,1404.58,Churned,1,3,3,7,"At Risk"
12766,3,9,10068.28,Active,4,4,4,12,Champions
12767,375,1,949.82,Churned,2,1,3,6,Others
12768,450,1,168.69,Churned,1,1,1,3,Lost
12769,238,1,1143.60,Churned,2,1,3,6,Others
12770,210,2,3246.45,Churned,2,2,4,8,Others
12771,485,1,282.30,Churned,1,1,1,3,Lost
12772,59,1,892.47,Active,3,1,2,6,Others
12773,564,1,124.25,Churned,1,1,1,3,Lost
12774,535,1,98.70,Churned,1,1,1,3,Lost
12775,17,7,1686.12,Active,4,3,3,10,"Loyal Customers"
12776,667,1,55.50,Churned,1,1,1,3,Lost
12777,457,1,519.45,Churned,1,1,2,4,Lost
12778,19,9,1775.68,Active,4,4,3,11,"Loyal Customers"
12779,37,14,6722.27,Active,3,4,4,11,"Loyal Customers"
12780,598,1,337.40,Churned,1,1,1,3,Lost
12781,63,2,826.74,Active,3,2,2,7,Others
12782,4,11,4618.24,Active,4,4,4,12,Champions
12783,2,6,2225.91,Active,4,3,3,10,"Loyal Customers"
12784,9,3,1804.75,Active,4,2,3,9,"New Customers"
12785,364,3,1100.40,Churned,2,2,3,7,Others
12786,609,1,728.50,Churned,1,1,2,4,Lost
12787,9,4,862.18,Active,4,3,2,9,"Loyal Customers"
12788,463,4,444.90,Churned,1,3,2,6,"At Risk"
12789,65,3,273.35,Active,3,2,1,6,Others
12790,192,2,591.85,Churned,2,2,2,6,Lost
12791,373,6,1056.11,Churned,2,3,3,8,"At Risk"
12792,256,2,827.01,Churned,2,2,2,6,Lost
12793,334,3,1017.33,Churned,2,2,3,7,Others
12794,53,2,860.41,Active,3,2,2,7,Others
12795,18,1,430.48,Active,4,1,2,7,"New Customers"
12796,628,1,381.00,Churned,1,1,2,4,Lost
12797,365,2,806.11,Churned,2,2,2,6,Lost
12798,10,4,8510.93,Active,4,3,4,11,"Loyal Customers"
12799,529,1,219.35,Churned,1,1,1,3,Lost
12800,470,3,584.25,Churned,1,2,2,5,Lost
12801,500,1,1071.82,Churned,1,1,3,5,Others
12802,186,7,2416.42,Churned,2,3,4,9,"At Risk"
12803,393,1,1092.81,Churned,1,1,3,5,Others
12804,465,2,327.02,Churned,1,2,1,4,Lost
12805,381,4,1434.95,Churned,1,3,3,7,"At Risk"
12806,435,4,2878.96,Churned,1,3,4,8,"At Risk"
12807,383,1,330.35,Churned,1,1,1,3,Lost
12808,36,5,906.10,Active,3,3,3,9,"Loyal Customers"
12809,177,3,1755.94,Churned,2,2,3,7,Others
12810,534,2,534.99,Churned,1,2,2,5,Lost
12811,260,5,1033.90,Churned,2,3,3,8,"At Risk"
12812,44,1,229.64,Active,3,1,1,5,Others
12813,501,3,1687.80,Churned,1,2,3,6,Others
12814,101,1,125.92,Churned,2,1,1,4,Lost
12815,147,2,1063.46,Churned,2,2,3,7,Others
12816,95,2,572.20,Churned,3,2,2,7,Others
12817,281,3,690.98,Churned,2,2,2,6,Lost
12818,261,1,1542.08,Churned,2,1,3,6,Others
12819,458,1,540.52,Churned,1,1,2,4,Lost
12820,3,11,2689.52,Active,4,4,4,12,Champions
12821,214,2,220.80,Churned,2,2,1,5,Lost
12822,70,2,948.88,Active,3,2,3,8,Others
12823,74,18,6501.50,Active,3,4,4,11,"Loyal Customers"
12824,59,1,397.12,Active,3,1,2,6,Others
12825,521,2,518.63,Churned,1,2,2,5,Lost
12826,2,12,2955.75,Active,4,4,4,12,Champions
12827,5,3,430.15,Active,4,2,2,8,"New Customers"
12828,2,6,1018.71,Active,4,3,3,10,"Loyal Customers"
12829,336,3,385.30,Churned,2,2,2,6,Lost
12830,37,6,6814.64,Active,3,3,4,10,"Loyal Customers"
12831,262,3,451.11,Churned,2,2,2,6,Lost
12832,32,2,383.03,Active,3,2,2,7,Others
12833,145,1,417.38,Churned,2,1,2,5,Lost
